timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff,energy
62.901,-0.108339,0.068908,-0.076897,-0.025594,idle,1,0.020000000000003126,0.13821207861013796
62.921,-0.181007,0.105169,-0.08753,0.000558,idle,1,0.01999999999999602,0.138005136424859
62.941,-0.188634,0.145174,-0.018977,0.029481,idle,1,0.020000000000003126,0.1376600052810433
62.961,-0.132204,0.169325,0.015326,0.05745,idle,1,0.01999999999999602,0.13726157792783786
62.981,-0.08355,0.185959,0.007725,0.083152,idle,1,0.020000000000003126,0.1368706499207363
63.001,-0.064018,0.162977,-0.011604,0.099117,idle,1,0.01999999999999602,0.13650249471866102
63.02,-0.059292,0.148209,-0.024338,0.108935,idle,1,0.019000000000005457,0.13617231156929946
63.04,-0.06416,0.147333,-0.058138,0.116615,idle,1,0.01999999999999602,0.135892070011536
63.06,-0.079172,0.155872,-0.103595,0.124466,idle,1,0.020000000000003126,0.1356649847062959
63.08,-0.087204,0.166565,-0.125361,0.132886,idle,1,0.01999999999999602,0.1355030337787194
63.1,-0.099652,0.175936,-0.133628,0.141496,idle,1,0.020000000000003126,0.1354186908548294
63.12,-0.097259,0.181158,-0.131779,0.149428,idle,1,0.01999999999999602,0.13542466280295493
63.141,-0.070037,0.186796,-0.111983,0.156902,idle,1,0.021000000000000796,0.13553134270522338
63.159,-0.021423,0.186555,-0.069518,0.162833,idle,1,0.018000000000000682,0.13573393585103927
63.179,0.029516,0.189106,-0.047854,0.168087,idle,1,0.020000000000003126,0.1360436674554939
63.199,0.057245,0.210434,-0.049204,0.176557,idle,1,0.01999999999999602,0.13648865047570954
63.219,0.061999,0.205462,-0.059332,0.182338,idle,1,0.020000000000003126,0.13703016134695062
63.239,0.071626,0.182553,-0.050883,0.182381,idle,1,0.01999999999999602,0.13758180510023407
63.259,0.136293,0.172958,-0.039179,0.180496,idle,1,0.020000000000003126,0.13810510209410123
63.278,0.244519,0.189908,-0.064787,0.182378,idle,1,0.01899999999999835,0.1386214435191385
63.298,0.236578,0.208475,-0.097985,0.187598,idle,1,0.020000000000003126,0.13914785901268928
63.318,0.057599,0.202921,-0.10303,0.190662,idle,1,0.01999999999999602,0.1396522657265365
63.338,-0.118972,0.188006,-0.069958,0.190131,idle,1,0.020000000000003126,0.14012712384218276
63.358,-0.218992,0.166794,-0.003957,0.185464,idle,1,0.01999999999999602,0.1405974927837706
63.378,-0.152272,0.158017,0.070876,0.179975,idle,1,0.020000000000003126,0.14107116659474547
63.398,0.102062,0.183721,0.120328,0.180724,idle,1,0.020000000000003126,0.14159298634969406
63.418,0.304666,0.205051,0.158909,0.185589,idle,1,0.01999999999999602,0.14218578522969075
63.437,0.378843,0.184165,0.200186,0.185305,idle,1,0.01899999999999835,0.14278330596044603
63.457,0.284681,0.169321,0.222686,0.182108,idle,1,0.020000000000003126,0.1433419007756538
63.477,0.098625,0.162155,0.21956,0.178117,idle,1,0.01999999999999602,0.14384375873885394
63.498,-0.036697,0.122587,0.196272,0.167011,idle,1,0.021000000000000796,0.14422776655528283
63.517,-0.107634,0.073404,0.19379,0.14829,idle,1,0.019000000000005457,0.14444844357009645
63.537,-0.13082,0.042887,0.210396,0.127209,idle,1,0.01999999999999602,0.1445026356329835
63.557,-0.109346,0.04672,0.248411,0.111111,idle,1,0.020000000000003126,0.14442405596332097
63.577,-0.059341,0.059764,0.300313,0.100842,idle,1,0.01999999999999602,0.14422704461857522
63.597,-0.001807,0.043496,0.343166,0.089373,idle,1,0.020000000000003126,0.14390287302928045
63.617,0.042035,0.013965,0.383356,0.074291,idle,1,0.01999999999999602,0.14344246421984713
63.636,0.059412,-0.019052,0.401962,0.055623,idle,1,0.019000000000005457,0.14280193222822388
63.656,0.02874,-0.042884,0.397432,0.035921,idle,1,0.01999999999999602,0.1419449236674517
63.676,-0.02325,-0.044411,0.371781,0.019855,idle,1,0.020000000000003126,0.14084590222834015
63.696,-0.064646,-0.035839,0.332047,0.008716,idle,1,0.01999999999999602,0.1395503436919831
63.716,-0.106616,-0.026137,0.288935,0.001745,idle,1,0.020000000000003126,0.1380803168813047
63.736,-0.146058,-0.018806,0.249451,-0.002365,idle,1,0.01999999999999602,0.13644255219644788
63.756,-0.158329,-0.012982,0.208403,-0.004488,idle,1,0.020000000000003126,0.13469778069534374
63.775,-0.139609,-0.005294,0.210001,-0.004649,idle,1,0.01899999999999835,0.1329133243070286
63.796,-0.098044,0.001588,0.196561,-0.003402,idle,1,0.021000000000000796,0.1311828726017785
63.815,-0.052791,0.023006,0.137034,0.00188,idle,1,0.01899999999999835,0.12950761668848565
63.835,-0.061848,0.029821,0.069289,0.007468,idle,1,0.020000000000003126,0.1278947496850718
63.855,-0.088066,0.023385,0.053943,0.010651,idle,1,0.01999999999999602,0.12643950411489205
