timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff
22.559,0.082082,-0.212684,-0.062764,-0.064737,idle,0,0.019000000000001904
22.579,0.079233,0.105978,-0.062121,-0.030594,idle,0,0.019999999999999574
22.599,0.028511,0.231675,0.137117,0.02186,idle,0,0.019999999999999574
22.62,0.07152,-0.151501,0.117496,-0.012812,idle,0,0.021000000000000796
22.639,0.058396,-0.035882,-0.047772,-0.017426,idle,0,0.01899999999999835
22.659,0.04782,0.076012,-0.098669,0.001261,idle,0,0.019999999999999574
22.679,0.068788,0.144364,0.162637,0.029882,idle,0,0.019999999999999574
22.698,-0.028775,0.078192,0.169249,0.039544,idle,0,0.019000000000001904
22.72,-0.008654,-0.09376,-0.040766,0.012883,idle,0,0.021999999999998465
22.738,0.001814,-0.023599,-0.020827,0.005587,idle,0,0.018000000000000682
22.758,0.029911,0.107539,0.025909,0.025977,idle,0,0.019999999999999574
22.778,-0.029861,0.104223,0.058782,0.041626,idle,0,0.019999999999999574
22.798,-0.094354,-0.106814,0.03981,0.011938,idle,0,0.019999999999999574
22.819,0.040224,-0.09999,0.006087,-0.010447,idle,0,0.021000000000000796
22.837,-0.002327,-0.045598,0.051188,-0.017478,idle,0,0.018000000000000682
22.858,-0.027293,0.160711,0.016216,0.01816,idle,0,0.021000000000000796
22.877,-0.04513,-0.023361,0.103664,0.009856,idle,0,0.01899999999999835
22.897,0.035032,-0.139955,-0.017291,-0.020106,idle,0,0.019999999999999574
22.917,0.019406,-0.09725,-0.007576,-0.035535,idle,0,0.020000000000003126
22.937,-0.041921,0.20165,0.091579,0.011902,idle,0,0.019999999999999574
22.957,-0.036648,0.068424,0.054242,0.023206,idle,0,0.019999999999999574
22.977,0.040674,-0.157713,-0.091986,-0.012978,idle,0,0.019999999999999574
22.997,0.045573,-0.062286,-0.037219,-0.022839,idle,0,0.019999999999999574
23.017,-0.040142,0.148553,0.053213,0.011439,idle,0,0.019999999999999574
23.037,-0.023792,0.060907,0.054226,0.021333,idle,0,0.019999999999999574
23.056,0.036954,0.0093,-0.066337,0.018926,idle,0,0.019000000000001904
23.076,0.026345,-0.071629,0.001436,0.000815,idle,0,0.019999999999999574
23.096,0.007966,0.02779,0.05791,0.00621,idle,0,0.019999999999999574
23.116,-0.042458,0.103303,-0.020509,0.025629,idle,0,0.019999999999999574
23.136,0.008738,0.028478,-0.115647,0.026199,idle,0,0.019999999999999574
23.156,0.04376,-0.046593,0.041789,0.01164,idle,0,0.019999999999999574
23.175,0.01906,-0.015133,0.082579,0.006285,idle,0,0.019000000000001904
23.195,-0.036264,0.062929,0.038325,0.017614,idle,0,0.019999999999999574
23.215,-0.039471,0.11016,-0.103921,0.036123,idle,0,0.019999999999999574
23.235,0.076107,-0.083542,-0.057148,0.01219,idle,0,0.019999999999999574
23.255,0.015054,-0.02672,0.100506,0.004408,idle,0,0.019999999999999574
23.275,-0.032167,0.003015,0.038369,0.00413,idle,0,0.019999999999999574
23.295,-0.031021,0.119364,-0.050975,0.027176,idle,0,0.020000000000003126
23.315,0.054184,-0.020492,0.033831,0.017643,idle,0,0.019999999999999574
23.334,0.051346,-0.035631,0.039903,0.006988,idle,0,0.01899999999999835
23.354,0.020064,0.014007,-0.00066,0.008392,idle,0,0.019999999999999574
23.374,-0.004598,0.044832,-0.071077,0.01568,idle,0,0.019999999999999574
23.394,0.030107,-0.019046,0.106282,0.008735,idle,0,0.019999999999999574
23.414,0.049584,0.011282,0.083423,0.009244,idle,0,0.020000000000003126
23.434,0.03823,-0.005389,-0.098624,0.006318,idle,0,0.019999999999999574
23.454,-0.034803,-0.002609,-0.088945,0.004532,idle,0,0.019999999999999574
23.474,0.041553,0.028083,0.092067,0.009242,idle,0,0.019999999999999574
23.493,0.053663,0.053542,0.086359,0.018102,idle,0,0.01899999999999835
23.514,0.029432,-0.051836,-0.034678,0.004115,idle,0,0.021000000000000796
23.533,0.01902,0.033864,-0.070024,0.010065,idle,0,0.019000000000001904
23.553,0.113604,-0.04299,0.089825,-0.000546,idle,0,0.019999999999999574
23.573,0.029118,0.103465,0.087356,0.020256,idle,0,0.019999999999999574
23.593,-0.099455,-0.070086,-0.044435,0.002187,idle,0,0.019999999999999574
23.613,0.169639,-0.115485,-0.131608,-0.021347,idle,0,0.019999999999999574
23.633,0.186457,0.14979,0.114142,0.01288,idle,0,0.019999999999999574
23.652,0.029418,0.060936,0.077119,0.022491,idle,0,0.019000000000001904
23.672,-0.148673,-0.063766,0.056274,0.00524,idle,0,0.019999999999999574
23.692,0.172403,0.001786,-0.135034,0.004549,idle,0,0.019999999999999574
23.712,0.198866,0.026404,0.010136,0.00892,idle,0,0.019999999999999574
23.732,0.190957,0.012397,0.055603,0.009615,idle,0,0.019999999999999574
23.752,-0.153745,-0.134474,0.113601,-0.019202,idle,0,0.019999999999999574
23.772,-0.011104,0.098309,-0.173305,0.0043,idle,0,0.019999999999999574
23.791,0.172459,0.02933,0.069413,0.009306,idle,0,0.019000000000001904
23.811,0.212127,0.030357,0.020142,0.013516,idle,0,0.019999999999999574
23.831,-0.013127,-0.136092,-0.029703,-0.016406,idle,0,0.019999999999999574
23.851,-0.02979,-0.071091,-0.012318,-0.027343,idle,0,0.019999999999999574
23.871,0.067408,0.224231,0.129948,0.022972,idle,0,0.019999999999999574
23.891,0.123936,0.191892,0.115002,0.056756,idle,0,0.019999999999999574
23.911,-0.071247,-0.376187,-0.254688,-0.029832,idle,0,0.020000000000003126
23.932,0.173877,-0.156597,-0.233873,-0.055185,idle,0,0.020999999999997243
23.951,-0.026083,0.22329,0.06632,0.00051,idle,0,0.019000000000001904
23.97,-0.040413,0.220823,0.346054,0.044572,idle,0,0.01899999999999835
23.99,0.021409,0.002992,-0.043986,0.036256,idle,0,0.019999999999999574
24.01,0.128928,-0.081531,-0.075405,0.012699,idle,0,0.020000000000003126
24.03,0.026717,0.071691,0.074474,0.024497,idle,0,0.019999999999999574
24.05,-0.198421,-0.083642,-0.061569,0.002869,idle,0,0.019999999999999574
24.07,-0.049973,-0.212861,-0.114039,-0.040277,idle,0,0.019999999999999574
24.09,0.206393,0.16377,-0.100244,0.000533,idle,0,0.019999999999999574
24.109,-0.106612,0.092655,0.234885,0.018957,idle,0,0.019000000000001904
24.13,-0.115451,0.07119,0.176698,0.029404,idle,0,0.020999999999997243
24.149,0.012229,-0.204907,-0.231025,-0.017458,idle,0,0.019000000000001904
24.169,0.106582,-0.011073,-0.255382,-0.016181,idle,0,0.019999999999999574
24.189,-0.111847,0.067723,0.040744,0.000599,idle,0,0.019999999999999574
24.209,-0.026656,-0.087775,0.157667,-0.017075,idle,0,0.019999999999999574
24.229,-0.123473,-0.017927,0.085801,-0.017246,idle,0,0.019999999999999574
24.249,0.128699,0.284382,0.061523,0.04308,idle,0,0.019999999999999574
24.268,-0.107898,0.031633,-0.027858,0.040791,idle,0,0.019000000000001904
24.288,0.077122,-0.227797,-0.242704,-0.012927,idle,0,0.019999999999999574
24.308,-0.114092,-0.135432,-0.106919,-0.037428,idle,0,0.019999999999999574
24.328,-0.130529,0.029152,0.058246,-0.024112,idle,0,0.019999999999999574
24.348,-0.030324,0.056044,-0.153865,-0.008081,idle,0,0.019999999999999574
24.368,-0.068056,-0.07167,-0.130336,-0.020799,idle,0,0.019999999999999574
24.388,0.008209,0.08226,0.017794,-0.000187,idle,0,0.020000000000003126
24.407,-0.167927,0.080241,0.227894,0.015899,idle,0,0.01899999999999835
24.427,-0.115178,-0.028327,-0.195646,0.007054,idle,0,0.019999999999999574
24.447,-0.032569,-0.089964,-0.220957,-0.01235,idle,0,0.019999999999999574
24.467,-0.15335,-0.111933,-0.019267,-0.032267,idle,0,0.019999999999999574
24.487,-0.257358,-0.000988,0.1022,-0.026011,idle,0,0.019999999999999574
24.507,-0.052606,0.219893,-0.022434,0.02317,idle,0,0.020000000000003126
24.527,-0.049572,-0.042157,-0.013047,0.010104,idle,0,0.019999999999999574
24.546,-0.215724,-0.140883,-0.083336,-0.020093,idle,0,0.01899999999999835
24.566,-0.185577,0.017606,-0.008479,-0.012553,idle,0,0.019999999999999574
24.586,-0.087951,0.083845,0.034581,0.006727,idle,0,0.019999999999999574
24.606,-0.042958,-0.012741,-0.18314,0.002833,idle,0,0.020000000000003126
24.626,-0.182847,-0.063266,0.022778,-0.010387,idle,0,0.019999999999999574
24.646,-0.190135,0.1191,0.23352,0.015511,idle,0,0.019999999999999574
24.666,-0.002477,-0.003831,-0.069001,0.011642,idle,0,0.019999999999999574
24.686,-0.034841,-0.13429,-0.236768,-0.017544,idle,0,0.019999999999999574
24.705,-0.150523,0.073706,0.092951,0.000706,idle,0,0.01899999999999835
24.726,-0.047875,0.05137,0.115278,0.010839,idle,0,0.021000000000000796
24.745,0.023893,-0.061457,-0.057568,-0.00362,idle,0,0.019000000000001904
24.765,0.057205,-0.125222,-0.119362,-0.027941,idle,0,0.019999999999999574
24.785,-0.041035,0.137669,0.126241,0.005181,idle,0,0.019999999999999574
24.805,-0.063132,0.139209,0.091865,0.031987,idle,0,0.019999999999999574
24.825,0.012033,0.009436,0.059837,0.027477,idle,0,0.019999999999999574
24.845,0.143082,-0.1928,-0.174912,-0.016579,idle,0,0.019999999999999574
24.865,-0.097428,0.08494,0.073663,0.003725,idle,0,0.019999999999999574
24.885,-0.023548,0.003502,-0.067881,0.00368,idle,0,0.020000000000003126
24.904,0.019789,-0.060151,-0.061626,-0.009086,idle,0,0.01899999999999835
24.924,0.091836,0.029863,-0.020799,-0.001296,idle,0,0.019999999999999574
24.944,-0.015001,0.010488,0.037624,0.001061,idle,0,0.019999999999999574
24.964,-0.03256,0.054382,0.010303,0.011725,idle,0,0.019999999999999574
24.984,-0.03997,-0.034072,-0.022382,0.002566,idle,0,0.020000000000003126
25.004,0.053543,-0.078794,0.008727,-0.013706,idle,0,0.019999999999999574
25.024,0.028484,0.084,0.041334,0.005835,idle,0,0.019999999999999574
25.043,-0.065443,0.03468,0.103759,0.011604,idle,0,0.01899999999999835
25.063,-0.035872,-0.017112,-0.10079,0.005861,idle,0,0.019999999999999574
25.083,0.060882,-0.126502,-0.1354,-0.020612,idle,0,0.019999999999999574
25.103,0.007174,0.065703,0.109356,-0.003349,idle,0,0.020000000000003126
25.123,-0.015249,0.066017,0.004895,0.010524,idle,0,0.019999999999999574
25.143,-0.099829,0.021618,0.044745,0.012743,idle,0,0.019999999999999574
25.162,0.054315,-0.077821,-0.046446,-0.00537,idle,0,0.01899999999999835
25.182,0.027671,-0.044588,-0.039546,-0.013213,idle,0,0.019999999999999574
25.202,-0.076754,0.065064,0.028197,0.002442,idle,0,0.020000000000003126
25.222,-0.07229,0.113533,0.056199,0.02466,idle,0,0.019999999999999574
25.242,0.036849,-0.074394,-0.027416,0.00485,idle,0,0.019999999999999574
25.262,0.026602,-0.003298,-0.003775,0.00322,idle,0,0.019999999999999574
25.282,-0.032374,0.161598,0.225782,0.034896,idle,0,0.019999999999999574
25.302,-0.038168,0.006474,0.047986,0.029211,idle,0,0.019999999999999574
25.321,0.020785,-0.012422,-0.060358,0.020885,idle,0,0.019000000000001904
25.342,0.003191,0.028367,0.049329,0.022381,idle,0,0.020999999999997243
