timestamp,accX,accY,accZ,filteredAccY,phase,repCount
19.284,0.157648,-0.048378,-0.103180,0.026662,bottom,0
19.304,0.179417,0.012715,-0.106968,0.023872,bottom,0
19.323,0.171248,0.045459,-0.085067,0.028190,bottom,0
19.343,0.183446,0.017687,-0.082313,0.026089,bottom,0
19.363,0.202823,-0.018173,-0.092915,0.017237,bottom,0
19.383,0.228726,-0.019177,-0.102638,0.009954,bottom,0
19.403,0.240965,0.014933,-0.104454,0.010950,bottom,0
19.423,0.247317,0.037078,-0.073650,0.016176,bottom,0
19.443,0.248882,0.002651,-0.057101,0.013471,bottom,0
19.462,0.264718,-0.005727,-0.058213,0.009631,bottom,0
19.483,0.287676,-0.037039,-0.025622,0.000297,bottom,0
19.502,0.303788,-0.094137,0.020286,-0.018590,bottom,0
19.522,0.294676,-0.045314,0.094016,-0.023935,bottom,0
19.542,0.272611,0.047742,0.084562,-0.009599,bottom,0
19.562,0.298003,0.107806,0.009612,0.013882,bottom,0
19.582,0.328298,0.159898,-0.010180,0.043085,bottom,0
19.602,0.341693,0.280546,-0.039938,0.090577,bottom,0
19.622,0.319164,0.336747,0.023707,0.139811,bottom,0
19.641,0.261762,0.316745,0.111470,0.175198,bottom,0
19.661,0.194401,0.262122,0.234610,0.192583,bottom,0
19.681,0.094668,0.248532,0.296495,0.203773,bottom,0
19.701,-0.000339,0.285295,0.211274,0.220077,bottom,0
19.721,0.055475,0.273316,0.193671,0.230725,bottom,0
19.741,0.144090,0.174302,0.250190,0.219440,bottom,0
19.761,0.105640,0.047665,0.374544,0.185085,bottom,0
19.780,-0.062530,-0.027759,0.396701,0.142516,bottom,0
19.800,-0.179007,0.049574,0.271743,0.123928,bottom,0
19.820,-0.154794,0.031834,0.220852,0.105509,bottom,0
19.840,-0.101913,-0.007871,0.301300,0.082833,bottom,0
19.860,-0.155475,-0.090854,0.458553,0.048096,bottom,0
19.880,-0.255218,-0.080912,0.485966,0.022294,bottom,0
19.900,-0.230598,0.084369,0.393860,0.034709,bottom,0
19.920,-0.192334,0.074718,0.383273,0.042711,bottom,0
19.939,-0.226828,-0.037619,0.425068,0.026645,bottom,0
19.959,-0.269824,-0.055497,0.368106,0.010217,bottom,0
19.979,-0.271134,0.001434,0.311914,0.008460,bottom,0
19.999,-0.261799,0.016798,0.309532,0.010128,bottom,0
20.019,-0.266811,-0.105344,0.245458,-0.012967,bottom,0
20.038,-0.206692,-0.127346,0.186662,-0.035842,bottom,0
20.058,-0.170116,-0.104418,0.157535,-0.049557,bottom,0
20.078,-0.192981,-0.054720,0.092106,-0.050590,bottom,0
