timestamp,accX,accY,accZ,filteredAccY,phase,repCount,t_diff,energy
157.251,0.045117,-0.027938,0.045414,0.020267,idle,5,0.020000000000010232,0.11575052737695123
157.271,0.111584,0.08405,-0.0007,0.033024,idle,5,0.01999999999998181,0.11415121178453777
157.291,0.098561,-0.057848,0.030742,0.014849,idle,5,0.020000000000010232,0.11196837635183686
157.311,0.141537,-0.045122,0.074154,0.002855,idle,5,0.020000000000010232,0.1101304498920451
157.33,0.215844,-0.042406,-0.006415,-0.006197,idle,5,0.019000000000005457,0.10625143889222677
157.35,0.15686,-0.176164,0.058189,-0.04019,idle,5,0.01999999999998181,0.10043508101420144
157.37,0.100547,-0.121665,0.04524,-0.056485,idle,5,0.020000000000010232,0.09778425539998147
157.39,0.082407,0.022572,0.078739,-0.040674,idle,5,0.01999999999998181,0.09643560564722498
157.41,0.074094,-0.122515,0.085843,-0.057042,idle,5,0.020000000000010232,0.09557090118880548
157.43,0.083025,-0.1971,0.079938,-0.085054,idle,5,0.020000000000010232,0.09507333677247072
157.449,0.067659,-0.205698,0.052633,-0.109183,idle,5,0.019000000000005457,0.09411895793782966
157.469,0.14127,-0.114472,0.1053,-0.110241,idle,5,0.01999999999998181,0.09179724800089048
157.489,0.055466,-0.012752,0.024326,-0.090743,idle,5,0.020000000000010232,0.08897779075512638
157.509,0.079223,-0.028571,-0.059512,-0.078308,idle,5,0.01999999999998181,0.0865615706263637
157.529,0.089773,-0.097169,-0.035198,-0.08208,idle,5,0.020000000000010232,0.08498006511513241
157.549,0.094884,-0.024552,-0.0165,-0.070575,idle,5,0.020000000000010232,0.08437356992889111
157.569,0.061542,0.081967,-0.08256,-0.040067,idle,5,0.01999999999998181,0.08374695503663525
157.589,0.033333,0.13684,-0.105484,-0.004685,idle,5,0.020000000000010232,0.0817593153279118
157.609,0.032501,0.074964,-0.056366,0.011245,idle,5,0.020000000000010232,0.07702268652404523
157.628,-0.050913,-0.095531,-0.022772,-0.01011,idle,5,0.018999999999977035,0.07041560995071289
157.648,-0.03735,-0.039245,0.025708,-0.015937,idle,5,0.020000000000010232,0.06759158016302379
157.668,-0.087638,0.050133,0.001006,-0.002723,idle,5,0.020000000000010232,0.067099712924671
157.688,-0.145404,0.000173,-0.107576,-0.002144,idle,5,0.01999999999998181,0.06650889318432283
157.708,-0.11463,-0.043817,-0.168093,-0.010479,idle,5,0.020000000000010232,0.06544417245788198
157.728,-0.133222,-0.081564,-0.0769,-0.024696,idle,5,0.020000000000010232,0.06503479078097259
157.748,-0.206143,-0.162554,0.087381,-0.052267,idle,5,0.01999999999998181,0.06508828567989096
157.768,-0.220601,-0.125214,0.103939,-0.066857,idle,5,0.020000000000010232,0.06521284946427684
157.788,-0.20829,-0.060843,0.041892,-0.065654,idle,5,0.020000000000010232,0.06532576646572912
157.809,-0.187632,-0.227369,-0.065781,-0.097997,idle,5,0.020999999999986585,0.06543257755535313
157.828,-0.153109,-0.201129,-0.037127,-0.118623,idle,5,0.019000000000005457,0.0647699131060657
157.847,-0.149263,-0.14062,-0.047648,-0.123023,idle,5,0.019000000000005457,0.06276914809620777
157.867,-0.174124,-0.123774,-0.039273,-0.123173,idle,5,0.01999999999998181,0.0623272848495164
157.887,-0.119564,-0.090582,-0.006006,-0.116655,idle,5,0.020000000000010232,0.06287308330620842
157.907,-0.076997,-0.03728,-0.005225,-0.10078,idle,5,0.020000000000010232,0.06230512946164832
157.926,-0.114052,-0.063007,-0.017306,-0.093225,idle,5,0.018999999999977035,0.06263331310114603
157.947,-0.078932,-0.064938,-0.024332,-0.087568,idle,5,0.021000000000015007,0.06289112024794553
157.966,0.04485,-0.016645,-0.059698,-0.073383,idle,5,0.019000000000005457,0.06221409986063141
157.986,0.037605,0.074067,-0.127585,-0.043893,idle,5,0.01999999999998181,0.06083217759666302
158.006,-0.069418,0.186392,-0.201979,0.002164,idle,5,0.020000000000010232,0.05884970104557427
158.026,-0.09342,0.202887,-0.08635,0.042308,idle,5,0.020000000000010232,0.058380628467156234
158.046,0.037999,0.015513,0.077382,0.036949,idle,5,0.01999999999998181,0.05420412154512998
158.066,0.096577,0.151387,0.138792,0.059837,idle,5,0.020000000000010232,0.050957050956361515
158.085,0.023374,0.570457,-0.096046,0.161961,idle,5,0.019000000000005457,0.05331045231435144
158.105,0.002668,0.788145,-0.175899,0.287198,idle,5,0.01999999999998181,0.06182149069604144
158.125,-0.017321,0.58517,0.081044,0.346792,idle,5,0.020000000000010232,0.07252266911438919
158.145,-0.013112,0.090813,0.35125,0.295596,idle,5,0.020000000000010232,0.07952312783321215
158.165,-0.008218,0.260659,0.302469,0.288609,idle,5,0.01999999999998181,0.08531715163104293
158.185,-0.015744,0.413952,0.205896,0.313677,idle,5,0.020000000000010232,0.09108278897254186
158.205,-0.064268,0.119355,0.12459,0.274813,idle,5,0.020000000000010232,0.09542868434428897
158.225,-0.066398,0.068746,0.155852,0.2336,idle,5,0.01999999999998181,0.09845695682810657
158.244,-0.042671,0.177061,0.254347,0.222292,idle,5,0.019000000000005457,0.1008235356263081
158.264,-0.071108,-0.054981,0.213002,0.166837,idle,5,0.020000000000010232,0.10186853459410034
158.284,0.001001,-0.095237,0.307057,0.114423,idle,5,0.01999999999998181,0.10223189195165949
158.304,0.019607,0.080712,0.055395,0.10768,idle,5,0.020000000000010232,0.10250025282764542
158.324,0.02508,0.235464,-0.153843,0.133237,idle,5,0.020000000000010232,0.1028480564017684
158.344,-0.002528,-0.016395,-0.087031,0.103311,idle,5,0.01999999999998181,0.10266726853074037
158.364,-0.037027,-0.070037,0.124796,0.068641,idle,5,0.020000000000010232,0.1024100747620275
158.384,0.018099,0.221956,-0.036277,0.099304,idle,5,0.01999999999998181,0.1025995302285203
158.403,0.054539,0.19656,-0.061374,0.118755,idle,5,0.019000000000005457,0.10318321062174864
158.424,0.138349,-0.012868,0.05777,0.092431,idle,5,0.021000000000015007,0.10345854845735536
158.443,0.202812,-0.265486,-0.016467,0.020847,idle,5,0.019000000000005457,0.1033862056545923
158.463,0.120161,-0.230863,-0.112978,-0.029495,idle,5,0.01999999999998181,0.10341707196413104
158.483,0.03602,-0.009823,-0.183332,-0.025561,idle,5,0.020000000000010232,0.10344597211577351
158.503,-0.035517,-0.122293,-0.006691,-0.044907,idle,5,0.01999999999998181,0.10346299286637856
158.523,0.026169,-0.435634,-0.125198,-0.123052,idle,5,0.020000000000010232,0.10389780048195582
158.542,0.06493,-0.292235,-0.444818,-0.156889,idle,5,0.019000000000005457,0.1049596140959528
158.562,-0.120665,0.271955,-0.257791,-0.07112,idle,5,0.020000000000010232,0.10516456994496536
158.582,0.076509,0.01745,-0.06737,-0.053406,idle,5,0.01999999999998181,0.10530566529484305
158.602,-0.056862,0.106541,0.29927,-0.021417,idle,5,0.020000000000010232,0.10534191075960635
158.622,-0.172523,0.316632,0.337723,0.046193,idle,5,0.020000000000010232,0.10541038136863191
158.642,-0.224612,0.162705,0.325194,0.069495,idle,5,0.01999999999998181,0.10559623419093593
158.662,-0.221458,-0.017097,0.312832,0.052177,idle,5,0.020000000000010232,0.10567960459627662
158.681,-0.206625,0.135595,0.154288,0.068861,idle,5,0.019000000000005457,0.10585418259309377
158.702,-0.266493,0.089682,0.248789,0.073025,idle,5,0.020999999999986585,0.10605014643588495
158.721,-0.2529,-0.052617,0.258601,0.047897,idle,5,0.019000000000005457,0.10612381039730169
158.741,-0.191929,0.050819,0.201544,0.048481,idle,5,0.020000000000010232,0.1061993638388654
158.761,-0.178253,-0.156604,0.12022,0.007464,idle,5,0.01999999999998181,0.10619609716467791
158.781,0.078132,-0.284777,-0.091525,-0.050984,idle,5,0.020000000000010232,0.10634199939538704
158.801,0.175619,-0.006329,-0.264837,-0.042053,idle,5,0.01999999999998181,0.10646122598303678
158.821,0.088512,-0.025526,0.066292,-0.038748,idle,5,0.020000000000010232,0.10655746478981157
158.841,0.036018,0.063363,0.195725,-0.018326,idle,5,0.020000000000010232,0.10652489577354941
158.861,0.048187,-0.007927,0.003611,-0.016246,idle,5,0.01999999999998181,0.10646368962269905
158.88,0.021377,0.020248,-0.029808,-0.008947,idle,5,0.019000000000005457,0.10634939535210673
158.9,0.055279,0.073683,-0.03481,0.007579,idle,5,0.020000000000010232,0.10614995391605889
158.92,0.044335,0.070749,-0.036466,0.020213,idle,5,0.01999999999998181,0.10557826836760743
158.94,-0.103768,-0.040271,-0.031614,0.008116,idle,5,0.020000000000010232,0.10464676641442662
158.96,-0.031434,-0.075088,0.023698,-0.008525,idle,5,0.020000000000010232,0.10411933599649502
158.98,0.077869,-0.006595,-0.037931,-0.008139,idle,5,0.01999999999998181,0.10388843012573541
159.0,0.143751,-0.068814,-0.104939,-0.020274,idle,5,0.020000000000010232,0.10378579355218215
159.021,0.237608,-0.257746,-0.068098,-0.067768,idle,5,0.020999999999986585,0.10399918374353098
159.039,0.115348,-0.313861,0.0896,-0.116987,idle,5,0.018000000000000682,0.10468727275472088
159.059,0.111352,-0.225502,0.107051,-0.13869,idle,5,0.020000000000010232,0.10562499468306728
159.079,0.170615,-0.086699,-0.045507,-0.128292,idle,5,0.020000000000010232,0.10648752731243732
159.099,0.096065,-0.183702,0.133904,-0.139374,idle,5,0.01999999999998181,0.10752581291848119
159.119,-0.01454,0.070623,0.204866,-0.097374,idle,5,0.020000000000010232,0.10803487469354754
